Alloy Name,DOIs
Al0.5CoCrCuFeNi,"['10.1016.j.jallcom.2023.170826', '10.1016.j.jallcom.2015.12.004', '10.1016.j.jallcom.2018.05.180', '10.1016.j.msea.2019.05.056', '10.1016.j.actamat.2012.06.046', '10.1016.j.actamat.2015.07.004', '10.1016.j.ijplas.2018.11.011', '10.1016.j.intermet.2012.07.001', '10.1016.j.intermet.2017.11.010', '10.1016.j.jallcom.2009.06.182', '10.1016.j.jallcom.2009.10.088', '10.1016.j.jallcom.2014.11.085', '10.1016.j.jallcom.2018.04.137', '10.1016.j.matchemphys.2017.09.004', '10.1016.j.matchemphys.2017.09.014', '10.1016.j.surfcoat.2008.05.023', '10.1016.j.surfin.2020.100724', '10.1016.j.tsf.2007.06.142', '10.1016.j.vacuum.2018.12.009', '10.1016.j.vacuum.2019.108837', '10.1016.j.wear.2005.12.008', '10.1016.S1006-706X(16)30175-3', '10.1016.S1006-706X(17)30058-4', '10.1016.j.ceramint.2020.11.217', '10.1016.j.ijrmhm.2013.11.005', '10.1016.j.intermet.2022.107738', '10.1016.j.jallcom.2019.03.328', '10.1016.j.jmst.2020.10.067', '10.1016.j.msea.2020.138925', '10.1016.j.pmatsci.2017.06.004', '10.1016.j.surfcoat.2005.08.081']"
Al0.5CoCrFeMnNi,"['10.1016.j.scriptamat.2022.114949', '10.1016.j.ijfatigue.2022.107075', '10.1016.j.intermet.2017.09.002', '10.1016.j.jallcom.2019.06.099', '10.1016.j.jallcom.2019.152626', '10.1016.j.jallcom.2020.153829', '10.1016.j.jallcom.2021.159256', '10.1016.j.jallcom.2021.159488', '10.1016.j.jallcom.2021.160770', '10.1016.j.jallcom.2022.164780', '10.1016.j.jmst.2020.07.017', '10.1016.j.jmst.2022.09.048', '10.1016.j.matchar.2016.06.021', '10.1016.j.matchemphys.2017.06.043', '10.1016.j.matchemphys.2020.123850', '10.1016.j.msea.2018.05.041', '10.1016.j.msea.2019.01.041', '10.1016.j.msea.2022.143239', '10.1016.j.vacuum.2020.109178']"
Al0.5CoCrFeNi,"['10.1016.j.jallcom.2022.166768', '10.1016.j.jmst.2020.11.044', '10.1016.j.jmrt.2024.05.153', '10.1016.j.jmst.2020.11.029', '10.1016.j.matdes.2023.111847', '10.1016.j.intermet.2012.03.005', '10.1016.j.intermet.2018.01.021', '10.1016.j.matdes.2017.07.008', '10.1016.j.actamat.2020.116505', '10.1016.j.intermet.2023.107943', '10.1016.j.jmst.2020.01.057', '10.1016.j.msea.2021.141253', '10.1016.j.mtcomm.2021.102525', '10.1016.j.wear.2019.203028', '10.1016.j.corsci.2009.11.028', '10.1016.j.jallcom.2010.10.210', '10.1016.j.jallcom.2014.03.050', '10.1016.j.matdes.2016.07.073', '10.1016.j.surfcoat.2022.128804', '10.1016.j.actamat.2017.03.066', '10.1016.j.jallcom.2013.11.084', '10.1016.j.apsusc.2018.01.047', '10.1016.j.commatsci.2024.112980', '10.1016.j.jallcom.2020.156014', '10.1016.j.msea.2020.139877', '10.1016.j.ijfatigue.2022.107075', '10.1016.j.jallcom.2018.02.003', '10.1016.j.addma.2023.103584', '10.1016.j.apsusc.2023.157722', '10.1016.j.apsusc.2024.160367', '10.1016.j.ijrmhm.2022.105992', '10.1016.j.ijrmhm.2023.106116', '10.1016.j.intermet.2010.10.008', '10.1016.j.intermet.2014.12.007', '10.1016.j.intermet.2024.108348', '10.1016.j.jallcom.2009.08.090', '10.1016.j.jallcom.2017.03.249', '10.1016.j.jallcom.2019.153163', '10.1016.j.jallcom.2020.157126', '10.1016.j.jallcom.2021.162370', '10.1016.j.jallcom.2021.162955', '10.1016.j.jallcom.2022.167053', '10.1016.j.jallcom.2023.172158', '10.1016.j.jmrt.2021.12.050', '10.1016.j.jmrt.2023.11.189', '10.1016.j.jmrt.2024.04.231', '10.1016.j.jmrt.2024.04.238', '10.1016.j.jmst.2020.02.069', '10.1016.j.jnoncrysol.2023.122559', '10.1016.j.matchar.2022.112156', '10.1016.j.matlet.2016.04.086', '10.1016.j.matlet.2018.12.127', '10.1016.j.matlet.2024.136069', '10.1016.j.msea.2016.06.040', '10.1016.j.msea.2017.05.075', '10.1016.j.msea.2018.05.054', '10.1016.j.msea.2020.139575', '10.1016.j.msea.2023.145466', '10.1016.j.msea.2023.146017', '10.1016.j.mtcomm.2023.105800', '10.1016.j.mtcomm.2024.108302', '10.1016.j.mtcomm.2024.108799', '10.1016.j.nme.2020.100813', '10.1016.j.surfcoat.2020.126331', '10.1016.j.surfcoat.2021.127634', '10.1016.j.surfcoat.2023.130190', '10.1016.j.triboint.2022.107868']"
Al0.5CoCrFeNi2,"['10.1016.j.matchemphys.2021.125194', '10.1016.j.surfcoat.2020.126411']"
Al0.5CoCrFeNi2Ti0.5,"['10.1016.j.jallcom.2022.164230', '10.1016.j.surfcoat.2022.128988']"
Al0.5CoCrFeNiCu,"['10.1016.j.matchemphys.2023.128554', '10.1016.j.jallcom.2022.165455']"
Al0.5CoCrFeNiSi0.25,"['10.1016.j.jallcom.2022.166141', '10.1016.j.msea.2023.145326', '10.1016.j.surfcoat.2022.129129']"
Al0.5CoCrFeNiTi0.5,"['10.1016.j.matchar.2016.02.018', '10.1016.j.surfcoat.2022.128349', '10.1016.j.jallcom.2018.01.247', '10.1016.j.vacuum.2019.01.053']"
Al0.5CoFeNi,"['10.1016.j.jmmm.2014.07.023', '10.1016.j.mtnano.2023.100331']"
Al0.5CoFeNiC0.1,"['10.1016.j.mtnano.2023.100331', '10.1016.j.msea.2023.144947', '10.1016.j.msea.2023.144951']"
Al0.5Cr0.25Nb0.5Ta0.5Ti1.5,"['10.1016.j.intermet.2018.10.004', '10.1016.j.jmrt.2023.07.277', '10.1016.j.mtadv.2020.100104', '10.1016.j.intermet.2020.106838']"
